MicroSyst DL Network 3.02 TXT File
Файл:  C:\Program Files (x86)\MicroSyst DL Network 3.02 v3.02\DEVICES\DEV00001\2022.03.01_14.33.41.dnm

Устройство:   KOC-Plovdiv         
Канали:        3 
Записи:        1424 

Дата:         01 март 2022 г.


                  	температура1 	температура2 	влажност     
'02.03.22 17:53:41	6.2          	0.0          	0.0
'02.03.22 18:03:41	5.7          	0.0          	0.0
'02.03.22 18:13:41	5.6          	0.0          	0.0
'02.03.22 18:23:41	6.2          	0.0          	0.0
'02.03.22 18:33:41	5.4          	0.0          	0.0
'02.03.22 18:43:41	6.2          	0.0          	0.0
'02.03.22 18:53:41	5.8          	0.0          	0.0
'02.03.22 19:03:41	5.5          	0.0          	0.0
'02.03.22 19:13:41	6.4          	0.0          	0.0
'02.03.22 19:23:41	5.4          	0.0          	0.0
'02.03.22 19:33:41	6.1          	0.0          	0.0
'02.03.22 19:43:41	5.9          	0.0          	0.0
'02.03.22 19:53:41	5.4          	0.0          	0.0
'02.03.22 20:03:41	6.4          	0.0          	0.0
'02.03.22 20:13:41	5.5          	0.0          	0.0
'02.03.22 20:23:41	6.4          	0.0          	0.0
'02.03.22 20:33:41	5.9          	0.0          	0.0
'02.03.22 20:43:41	5.5          	0.0          	0.0
'02.03.22 20:53:41	6.4          	0.0          	0.0
'02.03.22 21:03:41	5.4          	0.0          	0.0
'02.03.22 21:13:41	6.1          	0.0          	0.0
'02.03.22 21:23:41	5.9          	0.0          	0.0
'02.03.22 21:33:41	5.6          	0.0          	0.0
'02.03.22 21:43:41	6.3          	0.0          	0.0
'02.03.22 21:53:41	5.3          	0.0          	0.0
'02.03.22 22:03:41	6.3          	0.0          	0.0
'02.03.22 22:13:41	5.7          	0.0          	0.0
'02.03.22 22:23:41	5.7          	0.0          	0.0
'02.03.22 22:33:41	6.3          	0.0          	0.0
'02.03.22 22:43:41	5.4          	0.0          	0.0
'02.03.22 22:53:41	6.2          	0.0          	0.0
'02.03.22 23:03:41	5.8          	0.0          	0.0
'02.03.22 23:13:41	5.5          	0.0          	0.0
'02.03.22 23:23:41	6.4          	0.0          	0.0
'02.03.22 23:33:41	5.5          	0.0          	0.0
'02.03.22 23:43:41	6.0          	0.0          	0.0
'02.03.22 23:53:41	5.9          	0.0          	0.0
'03.03.22 00:03:41	5.4          	0.0          	0.0
'03.03.22 00:13:41	6.4          	0.0          	0.0
